■頭部パーツ
○名称	タイプ	重量	スロット数	装甲	射撃補正	索敵	ロックオン	DEF回復	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
スパージネイル	180	実弾(3点射)	890	15x15	360	B-	C+	1.2	重量	171	リロード時間	1.08	威力	943

●ハガード系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ハガードM50	210	実弾	2200	6x9	120	B-	D+	1.3	重量	199.5	リロード	1.2	威力	2288
ハガードRF	230	実弾	1050	21x10	300	A-	C	2	重量	218.5	リロード	1.84	威力	1092
ハガード・ヴァリ	250	実弾	1000	6x40	900	D+	D-	1.2	重量	237.5	リロード	1.09	威力	1050
ハガード・タフ	250	実弾	2840	6x12	90	B+	D	1.6	重量	3010	リロード	1.44	威力	3010

●FLAP系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
FLAP－04	210	ニュード	980	20x11	300	B-	A+	1.9	重量	199.5	連射速度	312	威力	1019
FLAP－06C	230	ニュード	790	24x12	360	B	A+	1.7	重量	218.5	連射速度	374	威力	822
FLAP－08A	260	ニュード	730	30x10	400	C+	B+	2.1	重量	247	連射速度	420	威力	767
FLAP－12V	250	ニュード	1010	19x11	300	B	A-	1.6	重量	237.5	連射速度	318	威力	1071

●PSO2コラボ系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ミューズブレス	260	ニュード	1060	16x12	300	A-	B+	1.7	重量	247	連射速度	318	威力	1124

◆副武器
●ヘヴィマイン系統
○名称	重量	属性	威力	総弾数	爆発半径	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ヘヴィマイン	240	爆発	10300	1x4	12	1.0	重量	228	爆発半径	12.5	威力	10712
ヘヴィマインS	220	爆発	9700	1x5	20	1.0	重量	209	爆発半径	21	威力	10185
ヘヴィマインV	300	爆発	30000	1x3	10	1.0	重量	285	爆発半径	10.6	威力	31800

●リモートボム系統
○名称	重量	属性	威力	総弾数	爆発半径	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
リモートボム	280	爆発	11500	1x4	16	1.0	重量	266	爆発半径	16.6	威力	11960
リムペットボムS	240	爆発	7900	1x5	22	1.0	重量	228	爆発半径	23.1	威力	8295
リムペットボムV	340	爆発	18000	1x3	14	1.0	重量	323	爆発半径	14.8	威力	19080

●浮遊機雷系統
○名称	重量	属性	威力	総弾数	爆発半径	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
DAC22浮遊機雷	160	爆発	7800	1x4	18.0	1.0	重量	152	爆発半径	18.7	威力	8112
DAC24浮遊機雷	180	爆発	6500	1x5	24.0	1.0	重量	171	爆発半径	25.2	威力	6825
DAC25浮遊機雷	220	爆発	10100	1x3	15.0	1.0	重量	209	爆発半径	15.9	威力	10706

●指向性地雷系統
○名称	重量	属性	威力	総弾数	拡散率	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
MK16指向性地雷	190	実弾	330x20	1x4	大	1.0	重量	180.5	拡散率	中	威力	343x20
MK17指向性地雷	200	実弾	320x24	1x5	特大	1.0	重量	190	拡散率	大	威力	336x24
MK19指向性地雷	230	実弾	460x16	1x3	中	1.0	重量	218.5	拡散率	小	威力	488x16

●ホバーマイン系統
○名称	重量	属性	威力	総弾数	爆発半径	滑走速度	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ホバーマイン	200	爆発	6800	1x6	16	18	1.0	重量	190	爆発半径	16.6	威力	7072
ホバーマインS	230	爆発	6000	1x7	14	30	1.0	重量	218.5	爆発半径	14.6	威力	6240
ホバーマインV	250	爆発	9600	1x3	20	12	1.2	重量	237.5	爆発半径	21.0	威力	10080
ホバーマインX	210	爆発	7400	1x4	22	30	1.2	重量	199.5	爆発半径	23.3	威力	7844

●スプーキー系統
○名称	重量	属性	威力	総弾数	爆発半径	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
スプーキー	300	ニュード	4600	2x4	15	2.8	重量	285	爆発半径	15.6	威力	4784
スプーキーR	360	ニュード	3500	3x4	18	3.0	重量	342	爆発半径	18.9	威力	3675
スプーキーG	340	ニュード	8800	1x4	16	3.2	重量	323	爆発半径	17.0	威力	9328

●デトネーター系統
○名称	重量	属性	威力	総弾数	連射速度	爆発半径	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
N60デトネーター	270	爆発	6100	2x4	120	17	2.8	重量	256.5	爆発半径	17.7	威力	6344
N60デトネーターR	300	爆発	4700	4x3	120	20	3.2	重量	285	爆発半径	20.8	威力	4888
N70デトネーター	320	爆発	9500	1x4	(単発)	18	3.0	重量	304	爆発半径	18.9	威力	9975
N90デトネーターU	350	爆発	4300	5x3	240	19	4	重量	332.5	爆発半径	20.1	威力	4558

◆補助装備
●索敵センサー系統
○名称	重量	索敵範囲	所持数	索敵継続	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
索敵センサー	260	50	2	5.0	重量	247	索敵範囲	54	索敵継続	5.4
小型索敵センサー	280	45	3	5.0	重量	266	索敵範囲	49	索敵継続	5.4
広域索敵センサー	330	100	1	5.0	重量	313.5	索敵範囲	109	索敵継続	5.5
新型索敵センサー	290	65	2	5.0	重量	275.5	索敵範囲	72	索敵継続	5.5

●ND索敵センサー系統
○名称	重量	索敵範囲	所持数	索敵継続	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ND索敵センサー	330	160	2	12	重量	313.5	索敵範囲	173	索敵継続	13
小型ND索敵センサー	300	120	3	12	重量	285	索敵範囲	131	索敵継続	13.1
広域ND索敵センサー	350	260	1	14	重量	332.5	索敵範囲	286	索敵継続	15.4

●滞空索敵弾系統
○名称	重量	索敵範囲	所持数	稼働時間	射程距離	索敵継続	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
滞空索敵弾	380	65	3	50	350	5	重量	361	索敵範囲	70	索敵継続	5.4
小型滞空索敵弾	370	55	3	60	450	5	重量	351.5	索敵範囲	59	索敵継続	5.4
広域滞空索敵弾	430	80	2	65	250	5	重量	408.5	索敵範囲	87	索敵継続	5.5
高機能滞空索敵弾	400	110	1	70	300	5	重量	380	索敵範囲	121	索敵継続	5.5

◆特別装備
●リペアユニット系統
○名称	重量	連続使用	修理速度	有効距離	チャージ時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
リペアユニット	580	10	1000	60	35	重量	551	チャージ時間	33.25	修理速度	1080
リペアユニットβ	620	8.0	1000	80	30	重量	589	チャージ時間	28.5	修理速度	1080
リペアユニットγ	600	6.0	1500	50	23	重量	570	チャージ時間	21.62	修理速度	1635
リペアユニットδ	660	13.0	1300	70	95	重量	627	チャージ時間	88.35	修理速度	1430

●リペアショット系統
○名称	重量	連続使用	修理量	有効距離	チャージ時間	拡散率	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
リペアショット	500	25	280x8	60	45	中	重量	475	チャージ時間	42.75	修理量	302x8
リペアショットβ	530	20	300x6	80	40	小	重量	503.5	チャージ時間	38	修理量	324x6
リペアショットγ	550	30	330x12	40	30	大	重量	522.5	チャージ時間	28.2	修理量	360x12
リペアショットδ	560	25	180x3	60	35	極小	重量	532	チャージ時間	32.55	修理量	198x3

●リペアカプセル系統
○名称	重量	連続使用	修理速度	効果範囲	効果持続	チャージ時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
リペアカプセル	550	12	1700	16	1.9	20	重量	522.5	チャージ時間	19	修理速度	1836
リペアカプセルβ	560	15	1600	18	2.5	25	重量	532	チャージ時間	23.5	修理速度	1744
リペアカプセルγ	580	10	1800	14	1.3	15	重量	551	チャージ時間	13.95	修理速度	1980

●リペアセントリー系統
○名称	重量	連続使用	修理速度	効果範囲	チャージ時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
リペアポスト	500	90	1300	13	20	重量	475	チャージ時間	19	修理速度	1404
リペアポストβ	550	80	1300	18	30	重量	522.5	チャージ時間	28.2	修理速度	1417
リペアポストγ	560	60	2100	12	25	重量	532	チャージ時間	23.25	修理速度	2310

●リペアセントリー系統
○名称	重量	連続使用	修理速度	有効距離	チャージ時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
リペアセントリー	460	220	1100	80	40	重量	437	チャージ時間	38	修理速度	1188
リペアセントリーβ	450	240	900	100	30	重量	427.5	チャージ時間	28.2	修理速度	981
リペアセントリーγ	480	200	1320	90	25	重量	456	チャージ時間	23.25	修理速度	1452

●リペアフィールド系統
○名称	重量	連続使用	修理速度	効果範囲	チャージ時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
リペアフィールド	550	40	800	12	45	重量	522.5	チャージ時間	42.75	修理速度	864
リペアフィールドβ	590	35	800	18	25	重量	560.5	チャージ時間	23.5	修理速度	872
リペアフィールドγ	620	20	1100	9	30	重量	589	チャージ時間	27.9	修理速度	1210

■チップ
◆装着パーツ(頭部)
○名称	最大装着	効果
頭部装甲	3	装甲+2%
頭部装甲II	2	装甲+3%
射撃補正	3	射撃補正+1%
射撃補正II	2	射撃補正+1.5%
索敵	3	索敵+15m
索敵II	2	索敵+24m
ロックオン	3	ロックオン+3m
ロックオンII	3	ロックオン+5m
DEF回復	3	DEF回復+3%
DEF回復II	2	DEF回復+5%
頭部パーツ強化	2	射撃補正+0.5% 索敵+9m ロックオン+2m DEF回復+1.5%
被弾時カメラ制御	2	-
透過ロックオン維持	2	-
透過ロックオン維持II	1	-
近距離ロック維持	2	-
近距離ロック射撃	3	-
移動中射撃補正	2	-
静止時射撃適性	2	-
高感度索敵	2	索敵判定強化
DEF回復範囲拡大	3	-
索敵継続延長	2	-
高速精密射撃	2	収束速度+10%
近距離ロックズーム	2	-
精密照準ズーム	2	-
空中射撃適性	2	-
クーガー適性	2	-
エンフォーサー適性	2	-
ツェーブラ適性	2	-
ディスカス適性	2	-
ヘヴィガード適性	2	-
ケーファー適性	2	-
ロージー適性	2	-
シュライク適性	2	-
セイバー適性	2	-
被ロックオン方向表示	1	-
高機能索敵	1	-
設置物探知	2	-
設置物解除	2	-
砲撃/広域爆撃感知	1	-
侵入者接近通知	1	-
リニアDEF回復	3	-
リニアDEF回復II	2	-
マーキング	2	-
カウンター索敵	2	-

◆装着パーツ(胴部)
○名称	最大装着	効果
胴部装甲	3	装甲+2%
胴部装甲II	2	装甲+3%
ブースター	3	ブースター+2
ブースターII	2	ブースター+3
SP供給	3	SP供給+3%
SP供給II	2	SP供給+4.5%
エリア移動	3	エリア移動-0.2秒
エリア移動II	2	エリア移動-0.3秒
DEF耐久	3	DEF耐久+80
DEF耐久II	2	DEF耐久+120
胴部パーツ強化	2	ブースター+1 SP供給+1.5% エリア移動-0.1秒 DEF耐久+40
強襲兵装強化	2	ブースター+2 ダッシュ+0.06m/s
重火力兵装強化	2	装甲+0.5% 重量耐性+40
遊撃兵装強化	2	射撃補正+2% リロード+1%
支援兵装強化	2	SP供給+3% エリア移動-0.25秒
重量機体強化	3	重量装甲+1%
中量機体強化	3	中量装甲+1%
軽量機体強化	3	軽量装甲+1%
リペアポッド適性	3	約15%時間短縮
要請兵器ゲージ促進	2	-
BUブレイクゲイン	3	-
BUブレイクゲインII	2	-
大破抑制	2	-
状態異常耐性	2	-
ブースター回復	2	-
対実弾防御	3	実弾ダメージ4%軽減
対実弾防御II	2	実弾ダメージ6%軽減
対爆発防御	3	爆発ダメージ5%軽減
対爆発防御II	2	-
対ニュード防御	3	ニュードダメージ4%軽減
対ニュード防御II	2	ニュードダメージ6%軽減
対近接防御	3	近接ダメージ5%軽減
対近接防御II	2	-
兵装換装時自動修復	1	-
アンチブレイク	3	-
エナジーバリア	2	-

◆装着パーツ(腕部)
○名称	最大装着	効果
腕部装甲	3	装甲+2%
腕部装甲II	2	装甲+3%
反動吸収	3	反動吸収+3%
反動吸収II	2	反動吸収+4.5%
リロード	3	リロード+1%
リロードII	2	リロード+1.5%
武器変更	3	武器変更+2%
武器変更II	2	武器変更+3%
予備弾数	3	予備弾数+2%
予備弾数II	2	予備弾数+3%
腕部パーツ強化	2	反動吸収+1.5% リロード+0.5% 武器変更+1% 予備弾数+1%
アンチスタビリティ	3	転倒判定+1.03倍
アンチスタビリティII	2	-
投擲適性	2	-
パワースロー	1	-
フェイタルアタック	2	-
近接武器適性	2	-
プリサイスショット	3	CSダメージ+0.1倍
プリサイスショットII	2	CSダメージ+0.125倍
高速冷却	2	-
クイックリロード	2	-
実弾速射	3	-
実弾速射II	2	-
爆風範囲拡大	3	-
爆風範囲拡大II	2	-
ニュード威力上昇	3	-
ニュード威力上昇II	2	-
近接攻撃強化	3	-
補助装備自動補給	2	-
オートリロード	1	-

◆装着パーツ(脚部)
○名称	最大装着	効果
脚部装甲	3	装甲+2%
脚部装甲II	2	装甲+3%
歩行	3	歩行+0.3m/s
歩行II	2	歩行+0.45m/s
ダッシュ	3	ダッシュ+0.1m/s
ダッシュII	2	ダッシュ+0.15m/s
巡航	3	巡航+0.1m/s
巡航II	2	巡航+0.15m/s
重量耐性	3	重量耐性+40
重量耐性II	2	重量耐性+60
脚部パーツ強化	2	歩行+0.2m/s ダッシュ+0.05m/s 重量耐性+20 巡航+0.05m/s
転倒耐性	3	-
転倒耐性II	2	-
体制制御適性	2	受身ブースター消費約0.7倍
体制制御適性II	1	-
搭乗兵器適性	2	-
要請兵器運用適性	2	-
水中移動適性	2	-
地形ダメージ	2	-
重量超過耐性	3	-
重量超過耐性II	2	-
ジャンプ適性	1	-
しゃがみ中射撃制御	1	-
バランサー	2	-
自動耐性制御	1	-

◆サポート
○名称	最大装着	効果
ボーダーEXPアップ	3	-
ボーダーEXPアップII	2	-
BCアップ	3	BC+15%
BCアップII	2	-

■要請兵器
○名称	効果	重量
バラム重機砲	連続射撃	720
メガロパイク	近接戦闘	860
デストロイヤー	連続爆発	930
爆撃通信機	援護爆撃	600
オートガン	自動攻撃	660
偵察要請装置	索敵	580
リペアマシン	修理/再始動	680

